use-of-libraries
Time,Ethnicity,Geography,Value,Upper bound,Lower bound,Sample size
2017/18,All,England,32.7,34,31.4,"7,715"
2012/13,All,England,37,38.2,35.7,"9,838"
2013/14,All,England,35.4,36.5,34.3,"10,355"
2014/15,All,England,34.5,35.8,33.2,"9,817"
2015/16,All,England,33.4,34.6,32.2,"10,171"
2016/17,All,England,34,35.3,32.8,"9,352"
2006/07,All,England,46.1,47,45.3,"24,174"
2008/09,All,England,41.1,42,40.2,"10,752"
2010/11,All,England,39.7,40.6,38.7,"14,102"
2011/12,All,England,38.8,40,37.6,"9,188"
2018/19,All,England,32.9,34.3,31.6,"8,161"
