To what extent do you agree or disagree that artificial intelligence (AI) will benefit you? [note 1],,,,,,,,
"Great Britain, 6 to 31 August 2025",,,,,,,,
This worksheet contains one table.,,,,,,,,
Some cells refer to notes which can be found on the Notes worksheet.,,,,,,,,
Blank cells indicate that there's no note in that row.,,,,,,,,
,,,,,,,,
,,,,,,,,
"To enable filters, select any cell within the table, then navigate to the ""Data"" tab on the ribbon, and click on the ""Filter"" button in the ""Sort & Filter"" group. To apply a filter, click the filter icon in the column header of the data you wish to filter, then choose the desired criteria from the dropdown menu.",,,,,,,,
Question: To what extent do you agree or disagree that artificial intelligence (AI) will benefit you?,,,,,,,,
Source: Opinions and Lifestyle Survey from the Office for National Statistics,,,,,,,,
Breakdown category,Breakdown,Response options,Estimate (%),LCL,UCL,Sample size,Weighted count,Notes
All persons,All,Strongly agree,8,6,9,"3,290","54,612,193",
All persons,All,Agree,33,31,36,"3,290","54,612,193",
All persons,All,Neither agree nor disagree,39,37,42,"3,290","54,612,193",
All persons,All,Disagree,14,12,16,"3,290","54,612,193",
All persons,All,Strongly disagree,5,4,6,"3,290","54,612,193",
All persons,All,Strongly agree or agree,41,38,44,"3,290","54,612,193",[note 2]
All persons,All,Strongly disagree or disagree,20,18,22,"3,290","54,612,193",[note 2]
Age bands,16 to 29,Strongly agree,12,7,16,230,"11,335,590",
Age bands,16 to 29,Agree,38,31,45,230,"11,335,590",
Age bands,16 to 29,Neither agree nor disagree,27,20,33,230,"11,335,590",
Age bands,16 to 29,Disagree,17,11,23,230,"11,335,590",
Age bands,16 to 29,Strongly disagree,7,3,10,230,"11,335,590",
Age bands,16 to 29,Strongly agree or agree,49,42,57,230,"11,335,590",[note 2]
Age bands,16 to 29,Strongly disagree or disagree,24,17,30,230,"11,335,590",[note 2]
Age bands,30 to 49,Strongly agree,10,7,13,450,"17,252,904",
Age bands,30 to 49,Agree,38,33,44,450,"17,252,904",
Age bands,30 to 49,Neither agree nor disagree,34,29,39,450,"17,252,904",
Age bands,30 to 49,Disagree,13,9,17,450,"17,252,904",
Age bands,30 to 49,Strongly disagree,5,3,7,450,"17,252,904",
Age bands,30 to 49,Strongly agree or agree,48,43,53,450,"17,252,904",[note 2]
Age bands,30 to 49,Strongly disagree or disagree,18,14,22,450,"17,252,904",[note 2]
Age bands,50 to 69,Strongly agree,6,4,8,"1,170","16,909,144",
Age bands,50 to 69,Agree,30,27,34,"1,170","16,909,144",
Age bands,50 to 69,Neither agree nor disagree,46,42,50,"1,170","16,909,144",
Age bands,50 to 69,Disagree,13,10,15,"1,170","16,909,144",
Age bands,50 to 69,Strongly disagree,5,3,7,"1,170","16,909,144",
Age bands,50 to 69,Strongly agree or agree,36,32,40,"1,170","16,909,144",[note 2]
Age bands,50 to 69,Strongly disagree or disagree,18,15,21,"1,170","16,909,144",[note 2]
Age bands,70 and over,Strongly agree,3,2,4,"1,440","9,114,555",
Age bands,70 and over,Agree,23,20,26,"1,440","9,114,555",
Age bands,70 and over,Neither agree nor disagree,53,49,56,"1,440","9,114,555",
Age bands,70 and over,Disagree,16,14,19,"1,440","9,114,555",
Age bands,70 and over,Strongly disagree,5,4,6,"1,440","9,114,555",
Age bands,70 and over,Strongly agree or agree,26,23,29,"1,440","9,114,555",[note 2]
Age bands,70 and over,Strongly disagree or disagree,21,18,24,"1,440","9,114,555",[note 2]
Sex,Male,Strongly agree,10,7,12,"1,610","26,582,143",
Sex,Male,Agree,36,32,40,"1,610","26,582,143",
Sex,Male,Neither agree nor disagree,35,31,39,"1,610","26,582,143",
Sex,Male,Disagree,14,11,16,"1,610","26,582,143",
Sex,Male,Strongly disagree,5,4,7,"1,610","26,582,143",
Sex,Male,Strongly agree or agree,46,42,50,"1,610","26,582,143",[note 2]
Sex,Male,Strongly disagree or disagree,19,16,22,"1,610","26,582,143",[note 2]
Sex,Female,Strongly agree,6,4,8,"1,680","28,030,050",
Sex,Female,Agree,30,27,34,"1,680","28,030,050",
Sex,Female,Neither agree nor disagree,44,40,47,"1,680","28,030,050",
Sex,Female,Disagree,15,13,18,"1,680","28,030,050",
Sex,Female,Strongly disagree,5,4,7,"1,680","28,030,050",
Sex,Female,Strongly agree or agree,36,33,40,"1,680","28,030,050",[note 2]
Sex,Female,Strongly disagree or disagree,20,17,23,"1,680","28,030,050",[note 2]
