"Which public services, if any, would you trust to use artificial intelligence (AI) to complete some of their tasks? [note 1][note 3]",,,,,,,,
"Great Britain, 6 to 31 August 2025",,,,,,,,
This worksheet contains one table.,,,,,,,,
Some cells refer to notes which can be found on the Notes worksheet.,,,,,,,,
,,,,,,,,
,,,,,,,,
"To enable filters, select any cell within the table, then navigate to the ""Data"" tab on the ribbon, and click on the ""Filter"" button in the ""Sort & Filter"" group. To apply a filter, click the filter icon in the column header of the data you wish to filter, then choose the desired criteria from the dropdown menu.",,,,,,,,
"Question: Which public services, if any, would you trust to use artificial intelligence (AI) to complete some of their tasks?",,,,,,,,
Source: Opinions and Lifestyle Survey from the Office for National Statistics,,,,,,,,
Breakdown category,Breakdown,Response options,Estimate (%),LCL,UCL,Sample size,Weighted count,Notes
All persons,All,Education,31,28,33,"3,260","54,122,350",
All persons,All,Emergency services,22,20,25,"3,260","54,122,350",
All persons,All,Healthcare,32,30,35,"3,260","54,122,350",
All persons,All,Social care,19,17,21,"3,260","54,122,350",
All persons,All,Transport,35,32,37,"3,260","54,122,350",
All persons,All,Housing,25,23,27,"3,260","54,122,350",
All persons,All,Defence,19,17,21,"3,260","54,122,350",
All persons,All,Other,1,1,2,"3,260","54,122,350",
All persons,All,I would not trust any public service to complete some of their tasks using AI,46,44,49,"3,260","54,122,350",
All persons,All,Trusts at least one public service to use AI for some of their tasks,54,51,56,"3,260","54,122,350",[note 4]
Age bands,16 to 29,Education,30,23,37,230,"11,225,815",
Age bands,16 to 29,Emergency services,15,10,21,230,"11,225,815",
Age bands,16 to 29,Healthcare,23,17,29,230,"11,225,815",
Age bands,16 to 29,Social care,12,8,17,230,"11,225,815",
Age bands,16 to 29,Transport,38,31,46,230,"11,225,815",
Age bands,16 to 29,Housing,25,18,31,230,"11,225,815",
Age bands,16 to 29,Defence,15,10,20,230,"11,225,815",
Age bands,16 to 29,Other,[c],[c],[c],230,"11,225,815",
Age bands,16 to 29,I would not trust any public service to complete some of their tasks using AI,44,36,51,230,"11,225,815",
Age bands,16 to 29,Trusts at least one public service to use AI for some of their tasks,56,49,64,230,"11,225,815",[note 4]
Age bands,30 to 49,Education,38,32,43,450,"17,075,776",
Age bands,30 to 49,Emergency services,28,23,32,450,"17,075,776",
Age bands,30 to 49,Healthcare,38,33,43,450,"17,075,776",
Age bands,30 to 49,Social care,28,23,32,450,"17,075,776",
Age bands,30 to 49,Transport,43,38,49,450,"17,075,776",
Age bands,30 to 49,Housing,34,29,39,450,"17,075,776",
Age bands,30 to 49,Defence,23,19,28,450,"17,075,776",
Age bands,30 to 49,Other,2,0,3,450,"17,075,776",
Age bands,30 to 49,I would not trust any public service to complete some of their tasks using AI,40,34,45,450,"17,075,776",
Age bands,30 to 49,Trusts at least one public service to use AI for some of their tasks,60,55,66,450,"17,075,776",[note 4]
Age bands,50 to 69,Education,28,24,31,"1,160","16,799,244",
Age bands,50 to 69,Emergency services,21,18,24,"1,160","16,799,244",
Age bands,50 to 69,Healthcare,32,28,36,"1,160","16,799,244",
Age bands,50 to 69,Social care,18,15,21,"1,160","16,799,244",
Age bands,50 to 69,Transport,30,26,34,"1,160","16,799,244",
Age bands,50 to 69,Housing,20,17,24,"1,160","16,799,244",
Age bands,50 to 69,Defence,18,15,21,"1,160","16,799,244",
Age bands,50 to 69,Other,2,0,3,"1,160","16,799,244",
Age bands,50 to 69,I would not trust any public service to complete some of their tasks using AI,51,47,55,"1,160","16,799,244",
Age bands,50 to 69,Trusts at least one public service to use AI for some of their tasks,49,45,53,"1,160","16,799,244",[note 4]
Age bands,70 and over,Education,24,21,27,"1,430","9,021,514",
Age bands,70 and over,Emergency services,23,20,26,"1,430","9,021,514",
Age bands,70 and over,Healthcare,34,31,38,"1,430","9,021,514",
Age bands,70 and over,Social care,16,13,18,"1,430","9,021,514",
Age bands,70 and over,Transport,22,19,25,"1,430","9,021,514",
Age bands,70 and over,Housing,16,13,18,"1,430","9,021,514",
Age bands,70 and over,Defence,20,18,23,"1,430","9,021,514",
Age bands,70 and over,Other,1,0,2,"1,430","9,021,514",
Age bands,70 and over,I would not trust any public service to complete some of their tasks using AI,53,49,56,"1,430","9,021,514",
Age bands,70 and over,Trusts at least one public service to use AI for some of their tasks,47,44,51,"1,430","9,021,514",[note 4]
Sex,Male,Education,35,31,39,"1,610","26,455,959",
Sex,Male,Emergency services,27,23,30,"1,610","26,455,959",
Sex,Male,Healthcare,39,35,42,"1,610","26,455,959",
Sex,Male,Social care,23,20,27,"1,610","26,455,959",
Sex,Male,Transport,39,35,43,"1,610","26,455,959",
Sex,Male,Housing,27,24,31,"1,610","26,455,959",
Sex,Male,Defence,24,21,27,"1,610","26,455,959",
Sex,Male,Other,2,1,3,"1,610","26,455,959",
Sex,Male,I would not trust any public service to complete some of their tasks using AI,41,37,45,"1,610","26,455,959",
Sex,Male,Trusts at least one public service to use AI for some of their tasks,59,55,63,"1,610","26,455,959",[note 4]
Sex,Female,Education,27,23,30,"1,660","27,666,391",
Sex,Female,Emergency services,18,15,21,"1,660","27,666,391",
Sex,Female,Healthcare,27,24,30,"1,660","27,666,391",
Sex,Female,Social care,16,13,18,"1,660","27,666,391",
Sex,Female,Transport,31,27,34,"1,660","27,666,391",
Sex,Female,Housing,22,19,26,"1,660","27,666,391",
Sex,Female,Defence,15,13,17,"1,660","27,666,391",
Sex,Female,Other,1,0,2,"1,660","27,666,391",
Sex,Female,I would not trust any public service to complete some of their tasks using AI,51,48,55,"1,660","27,666,391",
Sex,Female,Trusts at least one public service to use AI for some of their tasks,49,45,52,"1,660","27,666,391",[note 4]
AI benefit grouped,Strongly agree or agree,Education,51,46,55,"1,240","22,139,773",[note 5]
AI benefit grouped,Strongly agree or agree,Emergency services,37,33,41,"1,240","22,139,773",[note 5]
AI benefit grouped,Strongly agree or agree,Healthcare,51,47,55,"1,240","22,139,773",[note 5]
AI benefit grouped,Strongly agree or agree,Social care,33,29,37,"1,240","22,139,773",[note 5]
AI benefit grouped,Strongly agree or agree,Transport,57,53,62,"1,240","22,139,773",[note 5]
AI benefit grouped,Strongly agree or agree,Housing,44,39,48,"1,240","22,139,773",[note 5]
AI benefit grouped,Strongly agree or agree,Defence,31,27,34,"1,240","22,139,773",[note 5]
AI benefit grouped,Strongly agree or agree,Other,1,0,2,"1,240","22,139,773",[note 5]
AI benefit grouped,Strongly agree or agree,I would not trust any public service to complete some of their tasks using AI,22,18,25,"1,240","22,139,773",[note 5]
AI benefit grouped,Strongly agree or agree,Trusts at least one public service to use AI for some of their tasks,78,75,82,"1,240","22,139,773",[note 4] [note 5]
AI benefit grouped,Neither agree nor disagree,Education,22,18,25,"1,410","21,217,681",[note 5]
AI benefit grouped,Neither agree nor disagree,Emergency services,13,11,16,"1,410","21,217,681",[note 5]
AI benefit grouped,Neither agree nor disagree,Healthcare,23,20,26,"1,410","21,217,681",[note 5]
AI benefit grouped,Neither agree nor disagree,Social care,13,10,16,"1,410","21,217,681",[note 5]
AI benefit grouped,Neither agree nor disagree,Transport,22,19,26,"1,410","21,217,681",[note 5]
AI benefit grouped,Neither agree nor disagree,Housing,16,13,19,"1,410","21,217,681",[note 5]
AI benefit grouped,Neither agree nor disagree,Defence,13,10,15,"1,410","21,217,681",[note 5]
AI benefit grouped,Neither agree nor disagree,Other,2,1,3,"1,410","21,217,681",[note 5]
AI benefit grouped,Neither agree nor disagree,I would not trust any public service to complete some of their tasks using AI,56,51,60,"1,410","21,217,681",[note 5]
AI benefit grouped,Neither agree nor disagree,Trusts at least one public service to use AI for some of their tasks,44,40,49,"1,410","21,217,681",[note 4] [note 5]
AI benefit grouped,Strongly disagree or disagree,Education,7,3,11,610,"10,727,276",[note 5]
AI benefit grouped,Strongly disagree or disagree,Emergency services,9,5,14,610,"10,727,276",[note 5]
AI benefit grouped,Strongly disagree or disagree,Healthcare,13,8,17,610,"10,727,276",[note 5]
AI benefit grouped,Strongly disagree or disagree,Social care,4,1,7,610,"10,727,276",[note 5]
AI benefit grouped,Strongly disagree or disagree,Transport,12,8,17,610,"10,727,276",[note 5]
AI benefit grouped,Strongly disagree or disagree,Housing,4,1,7,610,"10,727,276",[note 5]
AI benefit grouped,Strongly disagree or disagree,Defence,10,6,14,610,"10,727,276",[note 5]
AI benefit grouped,Strongly disagree or disagree,Other,[low],0,1,610,"10,727,276",[note 5]
AI benefit grouped,Strongly disagree or disagree,I would not trust any public service to complete some of their tasks using AI,78,73,84,610,"10,727,276",[note 5]
AI benefit grouped,Strongly disagree or disagree,Trusts at least one public service to use AI for some of their tasks,22,16,27,610,"10,727,276",[note 4] [note 5]
