use-of-libraries by ethnicity
Year,Proportion of adults (16+) who have used a library service in the last 12 months,Geography,Proportion of adults (16+) who have used a library service in the last 12 months,Sample size
2017,All,England,32.7,7715
2012,All,England,37,9838
2013,All,England,35.4,10355
2014,All,England,34.5,9817
2015,All,England,33.4,10171
2016,All,England,34,9352
2005,All,England,48.2,28117
2006,All,England,46.1,24174
2007,All,England,45,25720
2008,All,England,41.1,10752
2009,All,England,39.4,6097
2010,All,England,39.7,14102
2011,All,England,38.8,9188
2018,All,England,32.9,8161
